test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-SPINE1,NTP,Synchronised with NTP server,NTP,PASS
2,DC1-SPINE2,NTP,Synchronised with NTP server,NTP,PASS
3,DC1-LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
4,DC1-LEAF1B,NTP,Synchronised with NTP server,NTP,PASS
5,DC1-LEAF2A,NTP,Synchronised with NTP server,NTP,PASS
6,DC1-LEAF2B,NTP,Synchronised with NTP server,NTP,PASS
7,DC1-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
8,DC1-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
9,DC1-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4,PASS
10,DC1-SPINE1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5,PASS
11,DC1-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
12,DC1-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
13,DC1-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4,PASS
14,DC1-SPINE2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5,PASS
15,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
16,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
17,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3,PASS
18,DC1-LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4,PASS
19,DC1-LEAF1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
20,DC1-LEAF1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
21,DC1-LEAF1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3,PASS
22,DC1-LEAF1B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4,PASS
23,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
24,DC1-LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
25,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1,PASS
26,DC1-LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2,PASS
27,DC1-SPINE1,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-LEAF1A_Ethernet1,PASS
28,DC1-SPINE1,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-LEAF1B_Ethernet1,PASS
29,DC1-SPINE1,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet4 - remote: DC1-LEAF2A_Ethernet1,PASS
30,DC1-SPINE1,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet5 - remote: DC1-LEAF2B_Ethernet1,PASS
31,DC1-SPINE2,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-LEAF1A_Ethernet2,PASS
32,DC1-SPINE2,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-LEAF1B_Ethernet2,PASS
